92|PAPUA BARAT
92.02.21.2008|Meyof I
92.02.21.2009|Wariki
92.02.21.2010|Womnowi
92.02.21.2011|Manggupi
92.02.21.2012|Sidey Jaya
92.03|KAB. FAK FAK
92.03.01|Fak-Fak
92.03.01.1001|Fak Fak Selatan
92.03.01.1002|Fak Fak Utara
92.03.01.2007|Gewerpe
92.03.01.2011|Lusi Peri
92.03.01.2012|Wrikapal
92.03.02|Fak-Fak Barat
92.03.02.2001|Werba
92.03.02.2002|Kiat
92.03.02.2003|Purwasak
92.03.02.2008|Wurkendik
92.03.02.2010|Kwuhkendak
92.03.02.2011|Purwahab Tonggo
92.03.02.2012|Pahger Nkindik
92.03.02.2013|Werba Utara
92.03.02.2014|Porum
92.03.03|Fak-Fak Timur
92.03.03.2001|Tunas Gain
92.03.03.2003|Urat
92.03.03.2004|Sanggram
92.03.03.2010|Weri
92.03.03.2012|Kiria Bisa
92.03.03.2013|Saharei
92.03.04|Kokas
92.03.04.1001|Kokas Kota
92.03.04.2003|Mandoni
92.03.04.2008|Sekar
92.03.04.2009|Ugar
92.03.04.2010|Sisir
92.03.04.2011|Kampung Baru
92.03.04.2012|Patimburak
92.03.04.2013|Batufiafas
92.03.04.2014|Kinam
92.03.04.2021|Mambunibuni
92.03.04.2024|Kriawaswas
92.03.04.2028|Sosar
92.03.04.2029|Pang Wadar
92.03.04.2030|Masina
92.03.04.2031|Kimina Kra
92.03.05|Fak-Fak Tengah
92.03.05.1001|Danaweria
92.03.05.2002|Kayu Merah
92.03.05.2003|Katemba
92.03.05.2004|Nemewikarya
92.03.05.2005|Raduria
92.03.05.2006|Brongkendik
92.03.05.2007|Air Besar
92.03.05.2008|Mandopma
92.03.05.2009|Kanantare
92.03.05.2010|Pasir Putih
92.03.05.2011|Pirma
92.03.05.2012|Sakartemin
92.03.05.2013|Hambrangkendik
92.03.05.2014|Unipokpok
92.03.06|Karas
92.03.06.2001|Malakuli
92.03.06.2002|Faur
92.03.06.2003|Kiaba
92.03.06.2004|Antalisa
92.03.06.2005|Tarak
92.03.06.2006|Tuberwasak
92.03.06.2007|Mas
92.03.07|Bomberay
92.03.07.2007|Onimsari
92.03.07.2008|Mekarsari
92.03.07.2009|Pinang Agung
92.03.07.2010|Bumi Moroh Indah
92.03.07.2012|Tesha
92.03.07.2014|Onim Jaya
92.03.07.2015|Wono Rejo
92.03.08|Kramongmongga
92.03.08.2001|Kramongmongga
92.03.08.2007|Wargep
92.03.08.2008|Mamur
92.03.08.2009|Nembukteb
92.03.08.2010|Pikpik
92.03.08.2011|Kwamkwamur
92.03.08.2012|Bahbadan
92.03.08.2016|Gewab
92.03.08.2017|Tentreda
92.03.08.2018|Mbaham Ma Youn
92.03.09|Teluk Patipi
92.03.09.2001|Puar
92.03.09.2002|Degen
92.03.09.2003|Tetar
92.03.09.2005|Sum
92.03.09.2011|Adora
92.03.09.2012|Us
92.03.09.2014|Patipi Pasir
92.03.09.2015|Patipi Pulau
92.03.09.2017|Mawar
92.03.09.2018|Tibatibananam
92.03.09.2020|Offie
92.03.09.2021|Muhri
92.03.09.2022|Bisa
92.03.10|Pariwari
92.03.10.1001|Wagom
92.03.10.1002|Wagom Utara
92.03.10.1003|Dulanpokpok
92.03.10.2004|Tanama
92.03.10.2005|Kapaurtutin
92.03.10.2006|Sekban
92.03.10.2007|Torea
92.03.10.2008|Sekru
92.03.10.2009|Sukuru Tuare
92.03.11|Wartutin
92.03.11.2001|Werpigan
92.03.11.2002|Werabuan
92.03.11.2003|Wartutin
92.03.11.2004|Siboru
92.03.11.2005|Sipatnanam
92.03.11.2006|Kamandur Tetar
92.03.12|Fakfak Timur Tengah
92.03.12.2001|Waserat
92.03.12.2002|Wambar
92.03.12.2003|Kotam
92.03.12.2004|Kwama
92.03.12.2005|Kalamanuk
92.03.12.2006|Wayati Timur
92.03.12.2007|Wayati
92.03.12.2008|Wayati Barat
92.03.12.2009|Krabelang
92.03.12.2010|Wambar Timur
92.03.13|Arguni
92.03.13.2001|Andamata
92.03.13.2002|Taver
92.03.13.2003|Arguni
92.03.13.2004|Fior
92.03.13.2005|Furir
92.03.14|Mbahamdandara
92.03.14.2001|Darembang
92.03.14.2002|Goras
92.03.14.2003|Mitimber
92.03.14.2004|Waremu
92.03.14.2005|Wos
92.03.14.2006|Mbahamdandra
92.03.14.2007|Goras Selatan
92.03.15|Kayauni
92.03.15.2001|Kaburbur
92.03.15.2002|Ubadari
92.03.15.2004|Homorkokma
92.03.15.2005|Pattukar
92.03.15.2006|Kayuni
92.03.15.2007|Kuagas
92.03.15.2008|Rangkendak
