81|MALUKU
81.03.01.2002|Wowonda
81.03.01.2003|Ilngei
81.03.01.2004|Kabiarat
81.03.01.2005|Lauran
81.03.01.2006|Sifnana
81.03.01.2007|Olilit Raya
81.03.01.2008|Lermatang
81.03.01.2009|Latdalam
81.03.01.2010|Bomaki
81.03.01.2011|Matakus
81.03.02|Selaru
81.03.02.2001|Adaut
81.03.02.2002|Namtabung
81.03.02.2003|Kandar
81.03.02.2004|Lingat
81.03.02.2005|Fursuy
81.03.02.2006|Werain
81.03.02.2007|Eliasa
81.03.03|Wer Tamrian
81.03.03.2001|Tumbur
81.03.03.2002|Lorulun
81.03.03.2003|Atubul Dol
81.03.03.2004|Amdasa
81.03.03.2005|Sangliat Krawain
81.03.03.2006|Arui Bab
81.03.03.2007|Arui Das
81.03.03.2008|Sangliat Dol
81.03.03.2009|Atubul Da
81.03.04|Wer Maktian
81.03.04.2001|Kamatubun
81.03.04.2002|Rumahsalut
81.03.04.2003|Welutu
81.03.04.2004|Themin
81.03.04.2005|Weratan
81.03.04.2006|Wermatang
81.03.04.2007|Batu Putih
81.03.04.2008|Makatian
81.03.04.2009|Marantutul
81.03.05|Tanimbar Utara
81.03.05.2001|Lelingluan
81.03.05.2002|Ritabel
81.03.05.2003|Ridool
81.03.05.2004|Watidal
81.03.05.2005|Kilobar
81.03.05.2006|Kelaan
81.03.05.2007|Lamdesar Barat
81.03.05.2008|Lamdesar Timur
81.03.06|Yaru
81.03.06.2001|Romean
81.03.06.2002|Rumngeur
81.03.06.2003|Awear
81.03.06.2004|Sofyanin
81.03.06.2005|Walerang
81.03.06.2006|Adodo Fordata
81.03.07|Wuar Labobar
81.03.07.2001|Abat
81.03.07.2002|Labobar
81.03.07.2008|Watmasa
81.03.07.2009|Awear Rumngeur
81.03.07.2010|Karatat
81.03.07.2011|Wunlah
81.03.07.2012|Kiloon
81.03.07.2013|Lingada
81.03.07.2014|Teineman
81.03.07.2015|Wabar
81.03.07.2016|Romnus
81.03.08|Kormomolin
81.03.08.2001|Lumasebu
81.03.08.2002|Kilmasa
81.03.08.2003|Meyano Bab
81.03.08.2004|Alusi Krawain
81.03.08.2005|Alusi Kelaan
81.03.08.2006|Alusi Bukjalim
81.03.08.2007|Alusi Tamrian
81.03.08.2008|Alusi Batjasi
81.03.08.2009|Lorwembun
81.03.08.2010|Meyano Das
81.03.09|Nirunmas
81.03.09.2001|Arma
81.03.09.2002|Watmuri
81.03.09.2003|Manglusi
81.03.09.2004|Tutukembong
81.03.09.2005|Waturu
81.03.18|Molu Maru
81.03.18.2001|Wadankou
81.03.18.2002|Adodo Molu
81.03.18.2003|Wulmasa
81.03.18.2004|Tutunametal
81.03.18.2005|Nurkat
81.04|KAB. BURU
81.04.01|Namlea
81.04.01.2001|Namlea
81.04.01.2002|Lala
81.04.01.2003|Karang Jaya
81.04.01.2009|Siahoni
81.04.01.2010|Jamilu
81.04.01.2011|Sanleko
81.04.01.2012|Batu boy
81.04.02|Air Buaya
81.04.02.2004|Waepure
81.04.02.2005|Waemangit
81.04.02.2006|Air Buaya
81.04.02.2007|Tanjung Karang
81.04.02.2008|Bara
81.04.02.2014|Selwadu
81.04.02.2018|Wasbaka
81.04.02.2019|Kampung Baru
81.04.02.2020|Batlale
81.04.02.2023|Awilinan
81.04.03|Waeapo
81.04.03.2001|Savana Jaya
81.04.03.2002|Waetele
81.04.03.2003|Waekasar
81.04.03.2004|Waenetat
81.04.03.2016|Waekerta
81.04.03.2019|Wanareja
81.04.03.2027|Gogorea
81.04.06|Waplau
81.04.06.2001|Lamahang
81.04.06.2002|Waplau
81.04.06.2003|Waeura
81.04.06.2004|Samalagi
81.04.06.2005|Namsina
81.04.06.2006|Hatawano
81.04.06.2007|Waelihang
81.04.06.2008|Waprea
81.04.06.2009|Waepotih
81.04.06.2010|Skikilale
81.04.10|Batabual
81.04.10.2001|Ilath
81.04.10.2002|Batu Jungku
81.04.10.2003|Pela
81.04.10.2004|Waemorat
81.04.10.2006|Namlea Ilath
81.04.11|Lolong Guba
81.04.11.2001|Kubalahin
81.04.11.2002|Waegeren
81.04.11.2003|Grandeng
81.04.11.2004|Lele
81.04.11.2005|Wanakarta
81.04.11.2006|Wabloy
81.04.11.2007|Ohilahin
81.04.11.2008|Tifu
81.04.11.2009|Wapsalit
81.04.11.2010|Nafrua
81.04.12|Waelata
81.04.12.2001|Waelo
81.04.12.2002|Debowae
81.04.12.2003|Parbulu
81.04.12.2004|Waetina
81.04.12.2005|Waeleman
81.04.12.2006|Basalale
81.04.12.2007|Waflan
81.04.12.2008|Dava
81.04.12.2009|Waehata
81.04.12.2010|Widit
81.04.13|Fena Leisela
81.04.13.2001|Wamlana
81.04.13.2002|Balbalu
81.04.13.2003|Waspait
81.04.13.2004|Waedanga
81.04.13.2005|Lemanpoli
81.04.13.2006|Waelana-lana
81.04.13.2007|Waereman
81.04.13.2008|Waemite
81.04.13.2009|Wasi
81.04.13.2010|Waekose
81.04.13.2011|Wamana Baru
81.04.13.2012|Raheriat
81.04.13.2013|Waenibe
81.04.14|Teluk Kaiely
81.04.14.2001|Kaiely
81.04.14.2002|Masarete
81.04.14.2003|Waelapia
81.04.14.2004|Kaki Air
81.04.14.2005|Seith
81.04.15|Lilialy
81.04.15.2001|Ubung
81.04.15.2002|Jikumerasa
81.04.15.2003|Waemiting
81.04.15.2004|Sawa
81.04.15.2005|Waeperang
81.05|KAB. SERAM BAGIAN TIMUR
81.05.01|Bula
81.05.01.2003|Bula
81.05.01.2004|Salas
81.05.01.2010|Englas
81.05.01.2011|Bula Air Fatolo
81.05.01.2012|Sesar
81.05.01.2022|Tansi Ambon
81.05.01.2023|Kampung Wailola
81.05.01.2024|Kampung Gorom
81.05.01.2025|Limumir
81.05.01.2026|Fattolo
81.05.02|Seram Timur
81.05.02.2001|Geser
81.05.02.2002|Kiltay
81.05.02.2003|Kilwaru
81.05.02.2004|Kellu
81.05.02.2005|Keffing
81.05.02.2006|Urung
81.05.02.2028|Kilfura
81.05.02.2046|Kwawor Kecil Mata Ata
81.05.02.2047|Kwawor Kecil Mata Wawa
81.05.02.2048|Kwawor Besar Ena
81.05.02.2049|Kwawor Besar Witau
81.05.02.2050|Guli-Guli
81.05.02.2051|Manggis
81.05.02.2052|Ainena
81.05.02.2053|Mugusinis
81.05.02.2054|Akatfadedo
81.05.03|Werinama
81.05.03.2001|Batuasa
81.05.03.2002|Hatuimeten
81.05.03.2003|Werinama
81.05.03.2004|Bemo
81.05.03.2015|Tum
81.05.03.2016|Gusalaut
81.05.03.2017|Osong
81.05.03.2018|Tobo
81.05.03.2021|Bemo Perak
81.05.03.2022|Funa Naibaya
81.05.04|Pulau Gorom
81.05.04.2001|Kataloka
81.05.04.2003|Amarsekaru
81.05.04.2004|Ondor
81.05.04.2005|Day
81.05.04.2006|Mida
81.05.04.2021|Loko
81.05.04.2022|Sera
81.05.04.2023|Kulugowa
81.05.04.2024|Rumeon
81.05.04.2031|Kelibingan
81.05.04.2032|Ilili
81.05.04.2042|Namalean
81.05.04.2043|Dulak
81.05.04.2044|Kilalir Kilwouw
81.05.04.2045|Kilotak
81.05.04.2046|Kilean
81.05.04.2047|Kaforing
81.05.04.2048|Arewang
81.05.04.2049|Usun Kataloka
81.05.04.2050|Buan Kataloka
81.05.04.2051|Rumanama Kotawouw Kataloka
81.05.04.2052|Sikaro Kataloka
81.05.04.2053|Aroa Kataloka
81.05.04.2054|Dada Kataloka
81.05.05|Wakate
81.05.05.2001|Ilili
81.05.05.2002|Effa
81.05.05.2003|Lahema
81.05.05.2004|Utta
81.05.05.2005|Kelangan
81.05.05.2006|Amarlaut
81.05.05.2007|Tamher Warat
81.05.05.2008|Tamher Timur
81.05.05.2010|Wunin Eldedora
81.05.05.2011|Keldor
81.05.05.2021|Tanah Baru
81.05.05.2022|Guliar
81.05.05.2023|Karlomin
81.05.05.2024|Otademan
81.05.05.2025|Kurwara
81.05.05.2026|Kilbutak
81.05.05.2027|Ruma Durun
81.05.05.2028|Tana Soa
81.05.06|Tutuk Tolu
81.05.06.2001|Danama
81.05.06.2002|Kilmoy
81.05.06.2003|Kilbat
81.05.06.2004|Sesar
81.05.06.2005|Airkasar
81.05.06.2006|Waras-Waras
81.05.06.2007|Gah
81.05.06.2008|Walang Tenga
81.05.06.2009|Bati Kilwouw
81.05.06.2010|Taruy
81.05.06.2011|Kufar
81.05.07|Siwalalat
81.05.07.2001|Dihil
81.05.07.2002|Liliama
81.05.07.2003|Naiwel Ahinulin
81.05.07.2004|Polin
81.05.07.2005|Tunsai
81.05.07.2006|Lapela
81.05.07.2007|Nayet
81.05.07.2008|Elnusa
81.05.07.2009|Atiahu
81.05.07.2010|Sabuai
81.05.07.2011|Abulate
81.05.07.2012|Adabai
81.05.08|Kilmury
81.05.08.2001|Selor
81.05.08.2002|Nekan
81.05.08.2003|Afang Kota
81.05.08.2004|Afang Defol
