65|KALIMANTAN UTARA
65.04.04.2002|Bebakung
65.04.04.2003|Kujau
65.04.04.2004|Mendupo
65.04.04.2005|Maning
65.04.04.2006|Periuk
65.04.05|Muruk Rian
65.04.05.2001|Seputuk
65.04.05.2002|Rian
65.04.05.2003|Balayan Ari
65.04.05.2004|Rian Rayo
65.04.05.2005|Kapuak
65.04.05.2006|Sapari
65.71|KOTA TARAKAN
65.71.01|Tarakan Barat
65.71.01.1001|Karang Anyar
65.71.01.1002|Karang Rejo
65.71.01.1003|Karang Anyar Pantai
65.71.01.1004|Karang Balik
65.71.01.1005|Karang Harapan
65.71.02|Tarakan Tengah
65.71.02.1001|Kampung I Skip
65.71.02.1002|Pamusian
65.71.02.1003|Sebengkok
65.71.02.1004|Selumit
65.71.02.1005|Selumit Pantai
65.71.03|Tarakan Timur
65.71.03.1001|Lingkas Ujung
65.71.03.1002|Gunung Lingkas
65.71.03.1003|Kampung Empat
65.71.03.1004|Kampung Enam
65.71.03.1005|Mamburungan
65.71.03.1006|Pantai Amal
65.71.03.1007|Mamburungan Timur
65.71.04|Tarakan Utara
65.71.04.1001|Juata Laut
65.71.04.1002|Juata Permai
65.71.04.1003|Juata Kerikil
