62|KALIMANTAN TENGAH
62.03.09.2014|Danau Rawah
62.03.09.2015|Muroi Raya
62.03.09.2016|Katimpun
62.03.09.2017|Manusup Hilir
62.03.09.2018|Sei Gita
62.03.09.2019|Bukit Batu
62.03.09.2020|Sei Gawing
62.03.09.2021|Humbang Raya
62.03.09.2022|Tabore
62.03.09.2023|Tumbang Mangkutup
62.03.09.2024|Lapetan
62.03.09.2025|Lamunti Permai
62.03.09.2026|Manyahi
62.03.09.2027|Sekata Makmur
62.03.09.2028|Kaladan Jaya
62.03.09.2029|Rantau Jaya
62.03.09.2030|Warga Mulya
62.03.09.2031|Lamunti Baru
62.03.09.2032|Sriwidadi
62.03.09.2033|Sumber Makmur
62.03.09.2034|Sidomulyo
62.03.09.2035|Harapan Jaya
62.03.09.2036|Sekata Bangun
62.03.09.2037|Sari Makmur
62.03.09.2038|Suka Maju
62.03.10|Timpah
62.03.10.2001|Petak Puti
62.03.10.2002|Aruk
62.03.10.2003|Lawang Kajang
62.03.10.2004|Timpah
62.03.10.2005|Lungkuh Layang
62.03.10.2006|Lawang Kamah
62.03.10.2007|Tumbang Randang
62.03.10.2008|Batapah
62.03.10.2009|Danau Pantau
62.03.11|Kapuas Tengah
62.03.11.2001|Masaran
62.03.11.2002|Kayu Bulan
62.03.11.2003|Kota Baru
62.03.11.2004|Penda Muntei
62.03.11.2005|Tapen
62.03.11.2006|Pujon
62.03.11.2007|Marapit
62.03.11.2008|Manis
62.03.11.2009|Karukus
62.03.11.2010|Bajuh
62.03.11.2011|Barunang
62.03.11.2019|Buhut Jaya
62.03.11.2021|Hurung Pukung
62.03.12|Kapuas Hulu
62.03.12.2001|Sei Hanyo
62.03.12.2002|Hurung Tabengan
62.03.12.2003|Rahung Bungai
62.03.12.2005|Bulau Ngandung
62.03.12.2006|Tumbang Puroh
62.03.12.2008|Tangirang
62.03.12.2013|Barunang II
62.03.12.2014|Hurung Tampang
62.03.12.2015|Supang
62.03.12.2016|Katanjung
62.03.12.2018|Jakatan Pari
62.03.12.2019|Tumbang Sirat
62.03.12.2021|Dirung Koram
62.03.12.2022|Mampai Jaya
62.03.13|Tamban Catur
62.03.13.2001|Tamban Baru Timur
62.03.13.2002|Tamban Baru Tengah
62.03.13.2003|Tamban Baru Mekar
62.03.13.2004|Bandaraya
62.03.13.2005|Sidorejo
62.03.13.2006|Warna Sari
62.03.13.2007|Bandar Mekar
62.03.13.2008|Tamban Makmur
62.03.13.2009|Sidomulyo
62.03.13.2010|Tamban Jaya
62.03.14|Pasak Talawang
62.03.14.2001|Jangkang
62.03.14.2002|Tumbang Tukun
62.03.14.2003|Sei Ringin
62.03.14.2004|Kaburan
62.03.14.2005|Balai Banjang
62.03.14.2006|Tumbang Diring
62.03.14.2007|Dandang
62.03.14.2008|Hurung Kampin
62.03.14.2009|Batu Sambung
62.03.14.2010|Tumbang Nusa
62.03.15|Mandau Talawang
62.03.15.2001|Masaha
62.03.15.2002|Sei Pinang
62.03.15.2003|Lawang Tamang
62.03.15.2004|Karetau Manta'a
62.03.15.2005|Tumbang Bukoi
62.03.15.2006|Tumbang Tihis
62.03.15.2007|Tumbang Manyarung
62.03.15.2008|Tanjung Rendan
62.03.15.2009|Jakatan Masaha
62.03.15.2010|Masupa Ria
62.03.16|Dadahup
62.03.16.2001|Dadahup
62.03.16.2002|Tambak Bajai
62.03.16.2003|Bina Jaya
62.03.16.2004|Harapan Baru
62.03.16.2005|Bentuk Jaya
62.03.16.2006|Sumber Agung
62.03.16.2007|Petak Batuah
62.03.16.2008|Manuntung
62.03.16.2009|Sumber Alaska
62.03.16.2010|Menteng Karya
62.03.16.2011|Tanjung Harapan
62.03.16.2012|Kahuripan Permai
62.03.16.2013|Dadahup Raya
62.03.17|Bataguh
62.03.17.1001|Pulau Kupang
62.03.17.2002|Pulau Mambulau
62.03.17.2003|Sei Lunuk
62.03.17.2004|Sei Jangkit
62.03.17.2005|Tamban Luar
62.03.17.2006|Terusan Raya
62.03.17.2007|Terusan Karya
62.03.17.2008|Terusan Makmur
62.03.17.2009|Terusan Mulya
62.03.17.2010|Bamban Raya
62.03.17.2011|Bangun Harjo
62.03.17.2012|Terusan Baguntan Raya
62.03.17.2013|Terusan Raya Barat
62.03.17.2014|Terusan Raya Hulu
62.03.17.2015|Budi Mufakat
62.04|KAB. BARITO SELATAN
62.04.01|Jenamas
62.04.01.1003|Rantau Kujang
62.04.01.2001|Tampulang
62.04.01.2002|Rantau Bahuang
62.04.01.2004|Rangga Ilung
62.04.01.2005|Tabatan
62.04.02|Dusun Hilir
62.04.02.1003|Mengkatip
62.04.02.2001|Sungai Jaya
62.04.02.2002|Mahajandau
62.04.02.2004|Kalanis
62.04.02.2005|Lehai
62.04.02.2006|Damparan
62.04.02.2007|Teluk Timbau
62.04.02.2008|Batilap
62.04.02.2009|Batampang
62.04.02.2010|Mangkatir
62.04.03|Karau Kuala
62.04.03.1002|Bangkuang
62.04.03.2001|Salat Baru
62.04.03.2003|Teluk Betung
62.04.03.2004|Babai
62.04.03.2005|Janggi
62.04.03.2006|Malitin
62.04.03.2007|Muara Arai
62.04.03.2008|Talio
62.04.03.2009|Tampijak
62.04.03.2010|Bintang Kurung
62.04.03.2011|Teluk Sampudau
62.04.04|Dusun Utara
62.04.04.1005|Pendang
62.04.04.2001|Sungai Telang
62.04.04.2002|Majundre
62.04.04.2003|Bundar
62.04.04.2004|Talekoi
62.04.04.2006|Marawan Lama
62.04.04.2007|Marawan Baru
62.04.04.2008|Reong
